Area,Year,Wood fuel (m3),,,,Industrial roundwood,,,,Other industrial roundwood,,,,,Harvesting,Export,Import,Consumption,Consumption,Consumption,,End-use pool,Delta(End-use ),Landfill pool,Delta(Landfill ),Emision,
,,Production,Import,Export,Balance,Production,Import,Export,Balance,Production,Import,Export,Balance,,TgC/year,TgC/year,TgC/year,Total,end-use,Fuel and landfill,,Tg C,Tg C,Tg C,Tg C,TgC,
Canada,1961,6882000,,,84028541.33,86687008,1291400,3501500,84476908,1656000,21900,324400,1353500,,28.57,14.15,0.39,14.81,5.67,9.14,,5.329441245,,6.673895089,,2.47,
Canada,1962,6457000,,,88051974.67,90737008,1463200,3599800,88600408,1819000,17500,379100,1457400,,29.70,14.80,0.44,15.34,6.11,9.23,,10.71422961,5.384788367,8.905773032,2.231877943,7.73,
Canada,1963,6031000,,,91000608,93740008,1395600,3362200,91773408,1669000,15700,255200,1429500,,30.43,15.15,0.42,15.71,6.47,9.24,,16.13770454,5.423474923,11.06909664,2.163323612,8.12,
Canada,1964,5632000,,,94097074.67,97084008,1742200,3513100,95313108,1548000,16700,231300,1333400,,31.28,15.69,0.53,16.12,6.84,9.28,,20.95140641,4.813701872,12.82115815,1.752061507,9.56,
Canada,1965,5222000,,,95195341.33,98448008,2030400,3783000,96695408,1631000,30200,207400,1453800,,31.59,15.96,0.62,16.24,7.05,9.19,,26.6480053,5.696598897,11.00547535,-1.815682806,12.36,
Canada,1966,7408500,,,100493008,104014008,1673900,4050100,101637808,1981000,43200,197500,1826700,,34.02,16.88,0.52,17.66,7.05,10.61,,31.92711208,5.279106779,12.53927861,1.533803268,10.85,
Canada,1967,7254000,,,99257216,102696016,1989100,3909600,100775516,1690000,85900,277100,1498800,,33.49,16.66,0.62,17.45,6.99,10.47,,37.47284575,5.545733668,11.5025301,-1.036748517,12.95,
Canada,1968,7108500,,,103656166.7,107122000,2070300,3516500,105675800,1244000,69400,371200,942200,,34.64,17.23,0.64,18.05,7.37,10.68,,42.84842697,5.375581218,14.41955619,2.917026091,9.76,
Canada,1969,4285000,,,113760333.3,117545000,2000500,3277600,116267900,1259000,137900,283300,1113600,,36.93,18.70,0.64,18.87,8.83,10.03,,49.5124107,6.663983729,15.16076464,0.741208449,11.46,
Canada,1970,4133000,,,113741000,117492000,2116600,4166600,115442000,1294000,204000,265400,1232600,,36.88,18.95,0.70,18.62,8.75,9.87,,56.5074532,6.995042498,16.26752441,1.106759777,10.52,
Canada,1971,3651000,,,112447666.7,116168000,2291400,2872500,115586900,1114000,188400,246300,1056100,,36.28,18.36,0.74,18.66,8.95,9.71,,63.38252839,6.875075192,14.54893127,-1.718593142,13.51,
Canada,1972,3383000,,,116892333.3,120905000,3328900,1959900,122274000,1106000,216000,248300,1073700,,37.62,18.80,1.06,19.88,9.72,10.17,,69.8815826,6.499054212,14.82862096,0.279689691,13.10,
Canada,1973,4205000,,,136331333.3,140524000,3316800,1705200,142135600,1079000,716600,231000,1564600,,43.74,21.66,1.21,23.29,11.30,12.00,,78.63053051,8.748947914,16.89927937,2.070658404,12.47,
Canada,1974,3480000,,,130184000,134590000,3450400,2099300,135941100,1086000,917000,196000,1807000,,41.75,20.88,1.31,22.18,10.95,11.23,,86.76190364,8.131373126,14.34785441,-2.551424955,16.60,
Canada,1975,3783000,,,108372333.3,111728000,2918400,1522000,113124400,915000,704000,170000,1449000,,34.93,17.27,1.09,18.75,8.95,9.80,,92.89736196,6.135458316,16.90234589,2.554491476,10.06,
Canada,1976,3928000,,,131538666.7,135469000,3136600,1650400,136955200,1278000,694600,190700,1781900,,42.20,20.87,1.15,22.48,10.95,11.53,,100.543338,7.64597609,16.20627243,-0.696073462,15.53,
Canada,1977,3720000,,,137767666.7,141818000,2742200,1822200,142738000,1166000,393700,168900,1390800,,44.01,21.87,0.94,23.08,11.36,11.73,,107.4733904,6.930052306,15.36278998,-0.843482442,17.00,
Canada,1978,4254000,,,147467333.3,151896000,3045500,1668900,153272600,1365000,359400,137300,1587100,,47.25,23.33,1.02,24.95,12.19,12.76,,117.0690434,9.595653076,14.34201574,-1.020774247,16.37,
Canada,1979,4710000,,,152788666.7,157284000,3730300,1755800,159258500,1803000,475800,117500,2161300,,49.14,24.15,1.26,26.25,12.74,13.51,,126.023606,8.954562549,15.59514249,1.253126756,16.04,
Canada,1980,4840000,,,146320666.7,150784000,2998800,2319700,151463100,1923000,400000,106800,2216200,,47.26,23.35,1.02,24.94,11.97,12.96,,134.7524186,8.728812576,18.27822592,2.683083423,13.53,
Canada,1981,5560000,,,134564333.3,139176000,2677800,1972600,139881200,1552000,455800,122100,1885700,,43.89,21.50,0.94,23.32,10.83,12.50,,141.4779435,6.72552495,17.54150913,-0.736716789,17.33,
Canada,1982,5751000,,,117585000,121721000,2529700,1635500,122615200,1408000,452500,106500,1754000,,38.66,18.78,0.89,20.78,9.36,11.42,,147.063071,5.585127509,19.98373075,2.442221626,12.75,
Canada,1983,6308000,,,145224000,149675000,3193800,2840300,150028500,1383000,377700,113200,1647500,,47.21,23.34,1.07,24.94,11.45,13.50,,155.002891,7.939819995,21.0920146,1.108283847,15.90,
Canada,1984,6662000,,,156421333.3,161162000,3835000,3875000,161122000,1593000,569100,98800,2063300,,50.83,25.37,1.32,26.78,12.33,14.45,,163.3269611,8.324070076,19.19229395,-1.899720646,20.36,
Canada,1985,6708000,,,157198000,162014000,4400000,2985400,163428600,2077000,863800,95100,2845700,,51.24,25.23,1.58,27.59,12.76,14.83,,172.0839227,8.756961614,23.47644922,4.284155269,14.55,
