Area,Element Code,Element,Item Code,Item,Year,Unit,Value,Flag Description
Canada,5516,Production,1864,Wood fuel,1961,m3,6882000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1962,m3,6457000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1963,m3,6031000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1964,m3,5632000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1965,m3,5222000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1966,m3,7408500,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1967,m3,7254000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1968,m3,7108500,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1969,m3,4285000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1970,m3,4133000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1971,m3,3651000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1972,m3,3383000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1973,m3,4205000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1974,m3,3480000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1975,m3,3783000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1976,m3,3928000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1977,m3,3720000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1978,m3,4254000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1979,m3,4710000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1980,m3,4840000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1981,m3,5560000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1982,m3,5751000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1983,m3,6308000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1984,m3,6662000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1985,m3,6708000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1986,m3,6902000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1987,m3,6629000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1988,m3,6289000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1989,m3,6150000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1990,m3,6169000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1991,m3,6681000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1992,m3,6388000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1993,m3,6423000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1994,m3,5878000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1995,m3,5319000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1996,m3,5425000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1997,m3,5199000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1998,m3,3041000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,1999,m3,2902000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2000,m3,2927000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2001,m3,2908000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2002,m3,2866000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2003,m3,2843000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2004,m3,2800000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2005,m3,2874000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2006,m3,2921000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2007,m3,3209000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2008,m3,3140000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2009,m3,3000000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2010,m3,3211000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2011,m3,1442824,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2012,m3,1442000,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2013,m3,4324773,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2014,m3,4638986,"Aggregate, may include official, semi-official, estimated or calculated data"
Canada,5516,Production,1864,Wood fuel,2015,m3,4638980,"Aggregate, may include official, semi-official, estimated or calculated data"
